implementation,git_commit,batch,heads,sequence_length,head_dimension,dtype,warmups,iterations,sample_index,latency_us,gpu_name,compute_capability,pytorch_version,cuda_version,timestamp
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,0,210.27199923992157,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,1,228.5439968109131,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,2,197.1839964389801,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,3,192.51200556755066,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,4,186.62400543689728,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,5,311.8720054626465,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,6,235.55199801921844,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,7,260.70401072502136,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,8,231.07199370861053,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,9,308.6079955101013,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,10,221.21599316596985,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,11,211.13599836826324,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,12,208.67200195789337,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,13,258.08000564575195,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
