implementation,git_commit,batch,heads,sequence_length,head_dimension,dtype,warmups,iterations,median_us,p25_us,p75_us,speedup_vs_explicit_eager,speedup_vs_sdpa,gpu_name,compute_capability,pytorch_version,cuda_version,timestamp
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,129.0080025792122,123.6879974603653,135.21599397063255,1.539005268273278,0.6511223892171721,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.935642+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,198.5439956188202,188.4399987757206,211.89600601792336,1.0,0.42308002619621554,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.917722+00:00
pytorch_sdpa,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,128,64,float32,25,100,83.99999886751175,82.7999971807003,86.01599931716919,2.363619027328464,1.0,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.947876+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,255,64,float32,25,100,204.28800582885742,201.7280012369156,208.48000049591064,1.7236841567796313,0.8008301666810606,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:48.026935+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,255,64,float32,25,100,352.1279990673065,328.0799984931946,383.35199654102325,1.0,0.4646037753095416,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:47.999612+00:00
pytorch_sdpa,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,255,64,float32,25,100,163.59999775886536,161.79199516773224,165.0800034403801,2.152371661925802,1.0,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:48.049186+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,512,64,float32,25,100,323.5839903354645,319.42401081323624,329.5759931206703,2.3112639103189383,0.7596420256377123,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:48.203596+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,512,64,float32,25,100,747.8879988193512,745.2479749917984,756.9360136985779,1.0,0.32866953109343844,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:48.153729+00:00
pytorch_sdpa,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,512,64,float32,25,100,245.80799788236618,232.36800357699394,257.6800063252449,3.0425698319924495,1.0,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:48.237211+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,768,64,float32,25,100,587.3119831085205,581.1440199613571,591.9199883937836,1.8237121782602252,0.6552973777738987,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:48.459265+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,768,64,float32,25,100,1071.0880160331726,1066.6479468345642,1078.544020652771,1.0,0.35932061297031836,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:48.385507+00:00
pytorch_sdpa,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,768,64,float32,25,100,384.8640024662018,379.09600138664246,414.62400555610657,2.7830298733309933,1.0,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:48.510368+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,1024,64,float32,25,100,1014.0159726142883,1007.3040425777435,1017.8959965705872,1.7955062685288024,0.5362282375201802,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:48.879707+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,1024,64,float32,25,100,1820.6720352172852,1814.527988433838,1826.7200291156769,1.0,0.2986501617505093,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:48.755388+00:00
pytorch_sdpa,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,1024,64,float32,25,100,543.7439978122711,512.1599733829498,581.1360031366348,3.348399324944597,1.0,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:48.954808+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,1536,64,float32,25,100,2438.9599561691284,2407.45609998703,2461.9999527931213,1.6875324146817228,0.423295187526525,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:49.796122+00:00
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,1536,64,float32,25,100,4115.823984146118,4098.096132278442,4130.296111106873,1.0,0.25083677435989316,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:49.495737+00:00
pytorch_sdpa,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,1536,64,float32,25,100,1032.4000120162964,1005.6320130825043,1091.4960503578186,3.986656272996198,1.0,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:49.942560+00:00
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1,8,2048,64,float32,25,100,4198.768138885498,4164.184093475342,4242.127895355225,1.6886476621594229,0.39549123242353745,Tesla T4,7.5,2.11.0+cu128,12.8,2026-08-23T19:20:51.391247+00:00
