git_commit,sequence_length,rows,input_family,dtype,scale,max_absolute_error,max_relative_error,max_row_sum_error,masked_positions_exactly_zero,contains_nan,contains_inf,shape_correct,dtype_correct,device_correct,pass_fail,rtol,atol,gpu_name,compute_capability,timestamp
ca87722a00ebf585cd788c67949e7c0b32dca788,31,62,normal,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.591024+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,31,62,random_x10,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.592948+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,31,62,random_x100,float32,0.125,0.0,0.0,2.384185791015625e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.594537+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,31,62,random_x1000,float32,0.125,0.0,0.0,5.960464477539063e-08,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.596090+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,31,62,zeros,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.602413+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,31,62,equal,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.604092+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,31,62,dominant_positive,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.605628+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,31,62,dominant_negative,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.607199+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,32,64,normal,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.608868+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,32,64,random_x10,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.610374+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,32,64,random_x100,float32,0.125,0.0,0.0,1.7881393432617188e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.611963+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,32,64,random_x1000,float32,0.125,0.0,0.0,1.1920928955078125e-07,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.613553+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,32,64,zeros,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.615067+00:00
ca87722a00ebf585cd788c67949e7c0b32dca788,32,64,equal,float32,0.125,0.0,0.0,0.0,True,False,False,True,True,True,PASS,1e-05,1e-06,Tesla T4,7.5,2026-08-23T19:09:40.616635+00:00
