-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            attention::explicit_pytorch         0.00%       0.000us         0.00%       0.000us       0.000us       1.095ms        67.85%       1.095ms       1.095ms           0 B           0 B           0 B           0 B             1  
                                              aten::bmm         4.88%     232.526us        50.30%       2.397ms     599.290us     786.685us        48.73%     936.925us     234.231us           0 B           0 B      18.00 MB      18.00 MB             4  
                    attention::custom_softmax_attention         0.00%       0.000us         0.00%       0.000us       0.000us     505.565us        31.32%     505.565us     505.565us           0 B           0 B           0 B           0 B             1  
                                   volta_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     485.790us        30.09%     485.790us     242.895us           0 B           0 B           0 B           0 B             2  
                     aten::_efficient_attention_forward         0.73%      35.001us         1.63%      77.678us      77.678us     408.222us        25.29%     408.222us     408.222us          16 B           0 B       1.00 MB           0 B             1  
fmha_cutlassF_f32_aligned_64x64_rf_sm75(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us     408.222us        25.29%     408.222us     408.222us           0 B           0 B           0 B           0 B             1  
                                attention::pytorch_sdpa         0.00%       0.000us         0.00%       0.000us       0.000us     408.222us        25.29%     408.222us     408.222us           0 B           0 B           0 B           0 B             1  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     300.895us        18.64%     300.895us     150.448us           0 B           0 B           0 B           0 B             2  
                                Activity Buffer Request        43.76%       2.086ms        43.76%       2.086ms       2.086ms     150.240us         9.31%     150.240us     150.240us           0 B           0 B           0 B           0 B             1  
(anonymous namespace)::fused_causal_softmax_kernel(f...         0.00%       0.000us         0.00%       0.000us       0.000us     110.207us         6.83%     110.207us     110.207us           0 B           0 B           0 B           0 B             1  
