implementation,git_commit,sequence_length,median_us,p25_us,p75_us,speedup_vs_explicit_eager,speedup_vs_sdpa
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,128,129.0080025792122,123.6879974603653,135.21599397063255,1.539005268273278,0.6511223892171721
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,128,198.5439956188202,188.4399987757206,211.89600601792336,1.0,0.42308002619621554
pytorch_sdpa,ca87722a00ebf585cd788c67949e7c0b32dca788,128,83.99999886751175,82.7999971807003,86.01599931716919,2.363619027328464,1.0
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,255,204.28800582885742,201.7280012369156,208.48000049591064,1.7236841567796313,0.8008301666810606
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,255,352.1279990673065,328.0799984931946,383.35199654102325,1.0,0.4646037753095416
pytorch_sdpa,ca87722a00ebf585cd788c67949e7c0b32dca788,255,163.59999775886536,161.79199516773224,165.0800034403801,2.152371661925802,1.0
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,512,323.5839903354645,319.42401081323624,329.5759931206703,2.3112639103189383,0.7596420256377123
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,512,747.8879988193512,745.2479749917984,756.9360136985779,1.0,0.32866953109343844
pytorch_sdpa,ca87722a00ebf585cd788c67949e7c0b32dca788,512,245.80799788236618,232.36800357699394,257.6800063252449,3.0425698319924495,1.0
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,768,587.3119831085205,581.1440199613571,591.9199883937836,1.8237121782602252,0.6552973777738987
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,768,1071.0880160331726,1066.6479468345642,1078.544020652771,1.0,0.35932061297031836
pytorch_sdpa,ca87722a00ebf585cd788c67949e7c0b32dca788,768,384.8640024662018,379.09600138664246,414.62400555610657,2.7830298733309933,1.0
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1024,1014.0159726142883,1007.3040425777435,1017.8959965705872,1.7955062685288024,0.5362282375201802
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1024,1820.6720352172852,1814.527988433838,1826.7200291156769,1.0,0.2986501617505093
pytorch_sdpa,ca87722a00ebf585cd788c67949e7c0b32dca788,1024,543.7439978122711,512.1599733829498,581.1360031366348,3.348399324944597,1.0
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,1536,2438.9599561691284,2407.45609998703,2461.9999527931213,1.6875324146817228,0.423295187526525
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,1536,4115.823984146118,4098.096132278442,4130.296111106873,1.0,0.25083677435989316
pytorch_sdpa,ca87722a00ebf585cd788c67949e7c0b32dca788,1536,1032.4000120162964,1005.6320130825043,1091.4960503578186,3.986656272996198,1.0
custom_softmax_attention,ca87722a00ebf585cd788c67949e7c0b32dca788,2048,4198.768138885498,4164.184093475342,4242.127895355225,1.6886476621594229,0.39549123242353745
explicit_pytorch,ca87722a00ebf585cd788c67949e7c0b32dca788,2048,7090.240001678467,7074.600100517273,7112.799882888794,1.0,0.23420589225687727
pytorch_sdpa,ca87722a00ebf585cd788c67949e7c0b32dca788,2048,1660.5759859085083,1630.2080154418945,1703.3120095729828,4.269747402013263,1.0
