component,value,evidence_source
timestamp,2026-08-23T19:07:17.985262+00:00,environment.json
python_version,3.13.15,environment.json
operating_system,Linux-6.6.122+-x86_64-with-glibc2.35,environment.json
hostname,3ba6423443ca,environment.json
pytorch_version,2.11.0+cu128,environment.json
pytorch_cuda_version,12.8,environment.json
cuda_available,True,environment.json
cuda_device_count,1,environment.json
gpu_name,Tesla T4,environment.json
compute_capability,7.5,environment.json
total_gpu_memory_bytes,15637086208,environment.json
nvidia_smi_return_code,0,environment.json
nvcc_return_code,0,environment.json
cxx_return_code,0,environment.json
cxx_output,"g++ (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0
Copyright (C) 2021 Free Software Foundation, Inc.
This is free software; see the source for copying conditions.  There is NO
warranty; not even for MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

",environment.json
