implementation,git_commit,sequence_length,median_us,p25_us,p75_us,elements_per_second,speedup_vs_eager
custom_cuda,ca87722a00ebf585cd788c67949e7c0b32dca788,128,38.7520007789135,36.88800148665905,45.304001308977604,3382328586.0202985,2.0024773103081586
pytorch_eager,ca87722a00ebf585cd788c67949e7c0b32dca788,128,77.60000228881836,73.72800260782242,85.40000021457672,1689072115.1291332,1.0
torch_compile,ca87722a00ebf585cd788c67949e7c0b32dca788,128,225.66399723291397,212.8319963812828,242.87200346589088,580828140.9848334,0.34387409263483565
custom_cuda,ca87722a00ebf585cd788c67949e7c0b32dca788,255,58.54399874806404,57.66399949789047,60.15999987721443,8885624677.57982,1.3992894179138335
pytorch_eager,ca87722a00ebf585cd788c67949e7c0b32dca788,255,81.91999793052673,79.9039974808693,90.29600024223328,6350097816.666964,1.0
torch_compile,ca87722a00ebf585cd788c67949e7c0b32dca788,255,143.45600455999374,133.00000503659248,165.79199582338333,3626198858.636487,0.5710461418592453
custom_cuda,ca87722a00ebf585cd788c67949e7c0b32dca788,512,131.04000687599182,126.68000161647797,139.5680047571659,16003906364.142786,2.5787545204394022
pytorch_eager,ca87722a00ebf585cd788c67949e7c0b32dca788,512,337.92001008987427,335.89600026607513,339.9120047688484,6206060420.755299,1.0
torch_compile,ca87722a00ebf585cd788c67949e7c0b32dca788,512,197.39200174808502,176.02400109171867,213.02399784326553,10624300789.433306,1.7119235181632813
custom_cuda,ca87722a00ebf585cd788c67949e7c0b32dca788,768,239.44000154733658,231.672003865242,244.6560002863407,19706782365.131035,3.0707651124512103
pytorch_eager,ca87722a00ebf585cd788c67949e7c0b32dca788,768,735.264003276825,733.4959954023361,738.4799867868423,6417547954.164516,1.0
torch_compile,ca87722a00ebf585cd788c67949e7c0b32dca788,768,344.35199201107025,337.1040001511574,360.00000685453415,13702816041.34965,2.135210541349758
custom_cuda,ca87722a00ebf585cd788c67949e7c0b32dca788,1024,359.5679998397827,357.34400898218155,363.6480048298836,23329684520.696556,3.555911679140662
pytorch_eager,ca87722a00ebf585cd788c67949e7c0b32dca788,1024,1278.592050075531,1276.1679589748383,1283.42404961586,6560816641.636756,1.0
torch_compile,ca87722a00ebf585cd788c67949e7c0b32dca788,1024,465.4240012168884,448.2000097632408,477.5040000677109,18023582750.49699,2.7471553824739363
custom_cuda,ca87722a00ebf585cd788c67949e7c0b32dca788,1536,723.9519953727722,714.7360146045685,818.8559859991074,26071297711.226482,3.944791900541903
pytorch_eager,ca87722a00ebf585cd788c67949e7c0b32dca788,1536,2855.839967727661,2848.7679958343506,2868.8400387763977,6609042598.075964,1.0
torch_compile,ca87722a00ebf585cd788c67949e7c0b32dca788,1536,1182.4159622192383,1174.94398355484,1195.9599554538727,15962544995.22766,2.4152583007824315
custom_cuda,ca87722a00ebf585cd788c67949e7c0b32dca788,2048,1414.4799709320068,1403.8159549236298,1437.9840195178986,23722097653.946167,3.623584743624341
pytorch_eager,ca87722a00ebf585cd788c67949e7c0b32dca788,2048,5125.488042831421,5022.35209941864,5138.704061508179,6546582826.767042,1.0
torch_compile,ca87722a00ebf585cd788c67949e7c0b32dca788,2048,1385.7600092887878,1355.3359806537628,1634.7199976444244,24213739590.609997,3.6986837608786023
